Date,Item,Store,Units Sold,Unit Price,Sales Amount
43656,Surface Book,Washington D.C.,3,1499,4497
43003,Xbox One,Miami,5,249,1245
43307,Xbox One,Houston,1,249,249
43263,Surface Book,Houston,2,1499,2998
43015,Surface Book,Washington D.C.,3,1499,4497
43763,Surface Studio,Houston,2,2999,5998
43146,Surface Studio,Atlanta,5,2999,14995
42778,Surface Studio,Washington D.C.,5,2999,14995
43655,Surface Book,Miami,1,1499,1499
43437,Surface Pro 4,Washington D.C.,5,899,4495
43413,Xbox One S,Miami,1,299,299
43164,Surface Pro 4,Miami,2,899,1798
43515,Xbox One,Miami,5,249,1245
42748,Surface Book,Tampa,2,1499,2998
42783,Surface Book,Dallas,5,1499,7495
42854,Xbox One S,Miami,1,299,299
43171,Surface Pro 4,Miami,4,899,3596
43102,Xbox One,Washington D.C.,4,249,996
43237,Surface Studio,Atlanta,4,2999,11996
43001,Xbox One,Tampa,3,249,747
43078,Surface Studio,Atlanta,5,2999,14995
43099,Surface Book,Houston,5,1499,7495
42997,Xbox One S,Tampa,1,299,299
42954,Surface Book,Atlanta,2,1499,2998
43591,Surface Studio,Atlanta,2,2999,5998
43484,Surface Book,Houston,3,1499,4497
42925,Surface Studio,Dallas,4,2999,11996
43327,Xbox One,Atlanta,3,249,747
43652,Surface Book,Dallas,1,1499,1499
43501,Xbox One S,Houston,4,299,1196
43210,Xbox One S,Dallas,1,299,299
43684,Xbox One,Miami,1,249,249
42764,Xbox One,Atlanta,2,249,498
43358,Xbox One S,Dallas,3,299,897
43226,Surface Book,Atlanta,3,1499,4497
42933,Surface Book,Miami,4,1499,5996
42794,Xbox One S,Washington D.C.,1,299,299
42832,Surface Pro 4,Tampa,4,899,3596
43263,Xbox One S,Tampa,5,299,1495
42746,Xbox One,Atlanta,3,249,747
43578,Xbox One,Dallas,1,249,249
42888,Xbox One S,Washington D.C.,4,299,1196
42834,Surface Pro 4,Miami,1,899,899
43275,Surface Book,Houston,1,1499,1499
43392,Surface Pro 4,Dallas,1,899,899
42788,Surface Pro 4,Miami,1,899,899
43284,Surface Pro 4,Dallas,1,899,899
43766,Surface Studio,Houston,5,2999,14995
43681,Surface Studio,Dallas,1,2999,2999
43761,Xbox One,Atlanta,2,249,498
43593,Xbox One,Washington D.C.,5,249,1245
43282,Surface Book,Washington D.C.,4,1499,5996
43820,Surface Book,Washington D.C.,3,1499,4497
43036,Surface Book,Houston,1,1499,1499
42772,Surface Book,Washington D.C.,1,1499,1499
42962,Surface Studio,Dallas,5,2999,14995
42963,Surface Pro 4,Houston,2,899,1798
43312,Surface Book,Atlanta,2,1499,2998
43604,Xbox One S,Tampa,1,299,299
43294,Surface Studio,Dallas,4,2999,11996
43531,Xbox One,Houston,5,249,1245
43321,Xbox One S,Tampa,5,299,1495
42906,Xbox One,Washington D.C.,3,249,747
43282,Xbox One,Washington D.C.,3,249,747
43716,Xbox One,Tampa,1,249,249
43617,Xbox One S,Dallas,1,299,299
43184,Surface Pro 4,Dallas,2,899,1798
43100,Xbox One S,Tampa,3,299,897
43169,Surface Pro 4,Houston,1,899,899
43578,Surface Pro 4,Houston,1,899,899
43206,Surface Pro 4,Houston,1,899,899
42990,Surface Book,Washington D.C.,5,1499,7495
42977,Surface Book,Houston,3,1499,4497
42868,Surface Studio,Houston,5,2999,14995
43553,Xbox One,Washington D.C.,5,249,1245
43636,Xbox One S,Washington D.C.,2,299,598
43632,Surface Pro 4,Miami,2,899,1798
42876,Surface Book,Houston,1,1499,1499
43757,Surface Studio,Atlanta,4,2999,11996
43685,Surface Pro 4,Houston,2,899,1798
42962,Xbox One S,Tampa,3,299,897
43230,Surface Book,Tampa,2,1499,2998
43626,Xbox One,Washington D.C.,1,249,249
43000,Surface Studio,Washington D.C.,4,2999,11996
43314,Surface Studio,Houston,2,2999,5998
43311,Surface Book,Tampa,4,1499,5996
43060,Surface Pro 4,Miami,2,899,1798
43079,Surface Pro 4,Houston,5,899,4495
43584,Surface Pro 4,Houston,5,899,4495
43138,Surface Studio,Tampa,4,2999,11996
43219,Surface Studio,Atlanta,2,2999,5998
43385,Xbox One S,Washington D.C.,1,299,299
43559,Xbox One S,Atlanta,5,299,1495
