幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.66000,31.01000,30.98900,30.94800,30.89900,30.84800,30.79600,30.74100,30.67700,本行賣出,31.33000,31.11000,31.09300,31.06000,31.01300,30.95800,30.91200,30.86400,30.81600,
HKD,本行買入,3.81400,3.94000,3.93700,3.93200,3.92500,3.92000,3.91400,3.90900,3.90300,本行賣出,4.01800,4.00000,3.99800,3.99500,3.98800,3.98300,3.97900,3.97500,3.97100,
GBP,本行買入,36.59000,37.59000,37.58200,37.56700,37.54600,37.53300,37.51200,37.49200,37.47100,本行賣出,38.71000,38.01000,38.01000,38.01000,37.99200,37.97700,37.97100,37.96600,37.96000,
AUD,本行買入,21.04000,21.31000,21.30100,21.28400,21.26300,21.24400,21.22800,21.20500,21.17800,本行賣出,21.82000,21.54000,21.53700,21.53100,21.51300,21.49200,21.48400,21.47000,21.45100,
CAD,本行買入,23.09000,23.48000,23.46900,23.44700,23.41300,23.38900,23.35700,23.32400,23.29100,本行賣出,24.00000,23.70000,23.69300,23.68000,23.65200,23.63000,23.60600,23.58200,23.55800,
SGD,本行買入,22.09000,22.58000,22.56700,22.54100,22.50800,22.48200,22.45200,22.42200,22.39100,本行賣出,23.00000,22.76000,22.75300,22.73800,22.70800,22.68300,22.66200,22.64100,22.62000,
CHF,本行買入,30.53000,31.19000,31.19600,31.20700,31.23800,31.26900,31.30200,31.33600,31.36900,本行賣出,31.73000,31.48000,31.49700,31.53200,31.56300,31.59400,31.64000,31.68600,31.73200,
JPY,本行買入,0.27660,0.28390,0.28390,0.28390,0.28410,0.28420,0.28440,0.28460,0.28470,本行賣出,0.28940,0.28790,0.28800,0.28820,0.28840,0.28860,0.28890,0.28920,0.28950,
ZAR,本行買入,0.00000,2.14000,2.13500,2.12600,2.11400,2.10300,2.09100,2.07900,2.06700,本行賣出,0.00000,2.22000,2.21600,2.20900,2.19700,2.18600,2.17400,2.16300,2.15200,
SEK,本行買入,2.87000,3.21000,3.21000,3.21000,3.21100,3.21300,3.21400,3.21400,3.21500,本行賣出,3.39000,3.31000,3.31100,3.31300,3.31500,3.31600,3.31800,3.32100,3.32300,
NZD,本行買入,20.10000,20.48000,20.46800,20.44500,20.41800,20.39700,20.37000,20.34200,20.31500,本行賣出,20.95000,20.68000,20.67600,20.66800,20.64300,20.62100,20.60200,20.58400,20.56600,
THB,本行買入,0.88400,0.99260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.07200,1.03260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.53680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.66980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00188,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00258,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.80000,34.42000,34.42500,34.43600,34.45800,34.48200,34.50400,34.52600,34.54800,本行賣出,35.14000,34.82000,34.83400,34.86200,34.89300,34.91800,34.95800,34.99800,35.03800,
KRW,本行買入,0.02456,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02846,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.41600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.06000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.41300,4.48500,4.48160,4.47470,4.46590,4.45670,4.44550,4.43440,4.42320,本行賣出,4.57500,4.53500,4.53290,4.52860,4.52210,4.51450,4.50690,4.49940,4.49180,
