Date	Item	Store	Units Sold	Unit Price	Sales Amount
43255	Xbox One S	Los Angeles	3	299	897
42912	Xbox One	Los Angeles	1	249	249
43737	Surface Studio	San Francisco	3	2999	8997
43825	Surface Book	Seattle	5	1499	7495
42976	Xbox One S	San Francisco	2	299	598
42936	Surface Book	Phoenix	4	1499	5996
42980	Surface Pro 4	San Diego	3	899	2697
43251	Surface Studio	San Francisco	1	2999	2999
43002	Surface Book	Los Angeles	4	1499	5996
43336	Surface Studio	San Francisco	3	2999	8997
43813	Xbox One S	Phoenix	4	299	1196
43145	Xbox One	San Francisco	2	249	498
43485	Surface Studio	San Francisco	4	2999	11996
43742	Xbox One S	Los Angeles	4	299	1196
43219	Xbox One S	Phoenix	5	299	1495
43020	Xbox One S	San Francisco	5	299	1495
43760	Surface Book	San Diego	2	1499	2998
42897	Xbox One S	San Francisco	3	299	897
42871	Xbox One S	Los Angeles	4	299	1196
43394	Surface Studio	San Francisco	1	2999	2999
43813	Surface Pro 4	San Francisco	5	899	4495
43264	Xbox One	San Diego	3	249	747
42960	Surface Studio	San Diego	5	2999	14995
42970	Xbox One	Los Angeles	3	249	747
43796	Surface Book	San Francisco	5	1499	7495
43429	Surface Studio	San Diego	5	2999	14995
43394	Surface Book	Phoenix	3	1499	4497
43057	Xbox One S	San Diego	2	299	598
42912	Surface Pro 4	Los Angeles	4	899	3596
43634	Surface Studio	Los Angeles	2	2999	5998
42904	Xbox One	San Francisco	5	249	1245
43261	Xbox One	Phoenix	4	249	996
43780	Surface Pro 4	Phoenix	4	899	3596
43361	Surface Studio	San Diego	3	2999	8997
42973	Xbox One	Los Angeles	1	249	249
43395	Surface Book	San Francisco	2	1499	2998
42947	Surface Book	Seattle	5	1499	7495
43671	Xbox One S	San Diego	3	299	897
42917	Xbox One	Seattle	5	249	1245
43785	Xbox One	Seattle	5	249	1245
43815	Surface Studio	Seattle	4	2999	11996
43124	Surface Studio	San Diego	3	2999	8997
43525	Xbox One	San Francisco	3	249	747
43478	Xbox One S	Phoenix	3	299	897
43619	Xbox One S	Los Angeles	3	299	897
43555	Surface Studio	Phoenix	5	2999	14995
43243	Surface Book	San Francisco	1	1499	1499
42947	Xbox One	Seattle	3	249	747
43746	Surface Pro 4	San Diego	1	899	899
43811	Surface Studio	Los Angeles	5	2999	14995
43626	Xbox One S	San Francisco	3	299	897
43355	Xbox One	San Francisco	4	249	996
43199	Surface Studio	San Francisco	5	2999	14995
43795	Xbox One S	San Diego	4	299	1196
43811	Surface Book	Los Angeles	4	1499	5996
42775	Surface Book	Los Angeles	1	1499	1499
43308	Xbox One	San Diego	3	249	747
43178	Surface Studio	San Diego	4	2999	11996
43268	Surface Studio	San Francisco	3	2999	8997
42848	Surface Studio	San Francisco	1	2999	2999
43703	Xbox One	Los Angeles	1	249	249
42951	Surface Book	Seattle	4	1499	5996
43343	Xbox One S	Los Angeles	3	299	897
43727	Xbox One	San Francisco	1	249	249
43542	Xbox One S	Seattle	1	299	299
42794	Surface Pro 4	San Francisco	2	899	1798
43021	Surface Studio	San Francisco	2	2999	5998
43029	Surface Book	San Francisco	2	1499	2998
43315	Surface Pro 4	San Francisco	3	899	2697
43671	Xbox One	Seattle	2	249	498
42831	Xbox One	Los Angeles	4	249	996
43697	Surface Studio	San Diego	3	2999	8997
43718	Xbox One	San Francisco	4	249	996
43103	Surface Pro 4	San Francisco	5	899	4495
43045	Surface Studio	Phoenix	5	2999	14995
43559	Xbox One S	San Diego	5	299	1495
42754	Xbox One	San Diego	5	249	1245
43811	Surface Studio	Seattle	3	2999	8997
43181	Xbox One S	Phoenix	3	299	897
43050	Xbox One S	San Diego	2	299	598
42761	Xbox One S	Phoenix	1	299	299
43602	Surface Pro 4	Seattle	5	899	4495
43408	Surface Studio	Phoenix	1	2999	2999
42794	Surface Pro 4	Los Angeles	2	899	1798
43095	Xbox One	Los Angeles	4	249	996
43087	Surface Book	San Francisco	4	1499	5996
43537	Surface Studio	San Diego	1	2999	2999
43661	Xbox One S	Seattle	3	299	897
42744	Xbox One	San Diego	4	249	996
42861	Xbox One S	San Diego	1	299	299
43014	Surface Studio	Seattle	5	2999	14995
43220	Xbox One	Seattle	5	249	1245
43353	Surface Studio	San Francisco	3	2999	8997
43168	Surface Studio	San Francisco	1	2999	2999
43223	Surface Book	San Francisco	4	1499	5996
43141	Xbox One	Seattle	1	249	249
43702	Surface Book	San Diego	3	1499	4497
43114	Surface Studio	Seattle	3	2999	8997
43400	Surface Book	Los Angeles	2	1499	2998
43138	Surface Studio	Los Angeles	5	2999	14995
42785	Surface Book	San Diego	3	1499	4497
43120	Surface Pro 4	Phoenix	4	899	3596
43607	Surface Studio	Los Angeles	4	2999	11996
42932	Xbox One	Phoenix	1	249	249
43721	Xbox One	San Diego	4	249	996
43037	Xbox One S	Phoenix	4	299	1196
43161	Xbox One	San Francisco	5	249	1245
42935	Surface Pro 4	Seattle	3	899	2697
43784	Surface Pro 4	Los Angeles	1	899	899
43532	Surface Book	San Francisco	5	1499	7495
42986	Surface Book	Phoenix	5	1499	7495
43660	Xbox One	San Diego	5	249	1245
42795	Xbox One S	Seattle	1	299	299
42841	Xbox One	Los Angeles	5	249	1245
43750	Xbox One S	Los Angeles	4	299	1196
43204	Surface Book	San Diego	1	1499	1499
43246	Surface Studio	Los Angeles	4	2999	11996
43210	Surface Book	San Francisco	1	1499	1499
43258	Surface Pro 4	San Diego	5	899	4495
43424	Surface Studio	San Francisco	4	2999	11996
42919	Surface Book	Phoenix	3	1499	4497
43060	Xbox One	Seattle	1	249	249
43495	Xbox One	Seattle	4	249	996
43370	Xbox One	Los Angeles	3	249	747
42880	Surface Pro 4	Los Angeles	5	899	4495
42813	Surface Studio	San Francisco	2	2999	5998
43686	Xbox One	San Francisco	4	249	996
42886	Surface Book	Los Angeles	2	1499	2998
42886	Surface Book	San Diego	3	1499	4497
43158	Surface Pro 4	Phoenix	4	899	3596
43513	Surface Book	Los Angeles	1	1499	1499
42911	Surface Pro 4	San Diego	2	899	1798
43549	Surface Book	San Francisco	3	1499	4497
43817	Surface Studio	Los Angeles	3	2999	8997
43164	Surface Book	Seattle	1	1499	1499
42921	Surface Pro 4	Seattle	5	899	4495
43318	Xbox One	Phoenix	2	249	498
43443	Xbox One S	Phoenix	4	299	1196
43061	Surface Book	Phoenix	5	1499	7495
43311	Xbox One S	Seattle	5	299	1495
43232	Surface Studio	Phoenix	3	2999	8997
43829	Surface Studio	Los Angeles	2	2999	5998
43588	Surface Book	Phoenix	1	1499	1499
42878	Xbox One S	San Francisco	3	299	897
43830	Surface Pro 4	Los Angeles	2	899	1798
42830	Surface Studio	San Francisco	5	2999	14995
43070	Surface Book	Seattle	1	1499	1499
43340	Surface Studio	Seattle	4	2999	11996
42914	Xbox One S	San Francisco	2	299	598
42737	Surface Studio	San Francisco	5	2999	14995
43434	Surface Book	San Diego	4	1499	5996
43678	Surface Book	San Francisco	2	1499	2998
43135	Xbox One S	Phoenix	1	299	299
43102	Xbox One S	Los Angeles	2	299	598
42779	Surface Studio	Seattle	3	2999	8997
43062	Surface Book	Phoenix	4	1499	5996
42981	Xbox One	San Diego	2	249	498
43218	Surface Book	San Diego	2	1499	2998
42762	Xbox One	Seattle	4	249	996
43597	Surface Studio	Los Angeles	2	2999	5998
43318	Surface Book	San Francisco	5	1499	7495
43720	Xbox One	San Francisco	4	249	996
43715	Xbox One S	San Francisco	4	299	1196
43071	Surface Book	Phoenix	2	1499	2998
42747	Surface Studio	Seattle	3	2999	8997
43430	Surface Pro 4	Seattle	3	899	2697
43609	Xbox One	Los Angeles	2	249	498
43094	Surface Studio	San Diego	2	2999	5998
42987	Xbox One	San Francisco	5	249	1245
43481	Xbox One	San Diego	1	249	249
42935	Surface Book	San Diego	4	1499	5996
43486	Xbox One S	San Diego	3	299	897
43799	Xbox One S	Seattle	2	299	598
43474	Surface Book	San Diego	4	1499	5996
43637	Surface Book	San Francisco	3	1499	4497
43261	Surface Book	Phoenix	3	1499	4497
43087	Xbox One	San Diego	1	249	249
43335	Surface Studio	San Francisco	5	2999	14995
42826	Surface Book	San Diego	3	1499	4497
43408	Surface Book	San Francisco	2	1499	2998
43215	Xbox One	Phoenix	2	249	498
